Where do you use JavaScript?,"Other than JavaScript, what are your primary development languages?"
At work;Side projects,C/C++/Objective-C;Ruby;Clojure;Go
At work,C/C++/Objective-C;Ruby;Scala;Haskell
At work;Side projects,C/C++/Objective-C;Python
Side projects,
At work;Side projects,
At work;Side projects,PHP
At work,C/C++/Objective-C;Perl
At work;Side projects,C/C++/Objective-C;Python;PHP
At work;Side projects,C/C++/Objective-C;Python;Ruby;Clojure;Go
At work;Side projects,Ruby
At work;Side projects,C/C++/Objective-C;Python;PHP
At work;Side projects;Games,
At work;Side projects,Python;Perl;PHP
At work;Side projects,Ruby
At work;Side projects,
At work;Side projects,Scala
At work;Side projects,Python
At work;Side projects,PHP
Side projects,Java
At work,
At work;Side projects,
At work;Side projects,Ruby;PHP
At work;Side projects,C/C++/Objective-C;Python;Ruby;PHP
,
At work;Side projects,Python
At work;Side projects,Ruby
At work;Side projects,Perl;bash
At work;Side projects,C/C++/Objective-C;C#/.Net
At work;Side projects,Python;Ruby;Go
At work,Java
At work;Side projects,C/C++/Objective-C;Java
At work;Side projects,
,
At work;Side projects,Python;Lisp;Clojure
At work;Side projects,Python
At work;Side projects,Python
At work;Side projects,
At work;Side projects,C/C++/Objective-C;Go
At work;Side projects,C/C++/Objective-C;Ruby
At work;Side projects,PHP
At work;Side projects,C#/.Net;Ruby
At work;Side projects,C#/.Net;Java;PHP
At work;Side projects,PHP
At work;Side projects,C/C++/Objective-C;C#/.Net
At work;Side projects,Python;bash
At work;Side projects,Python;Lisp
,n/a
At work,
At work;Side projects,
Side projects,
At work;Side projects,Java
At work;Side projects,C#/.Net;Ruby
At work;Side projects,C/C++/Objective-C;Java;PHP
At work;Research,C#/.Net;R
Side projects,
At work;Side projects,Perl
At work;Side projects,PHP
At work;Side projects,Python;Clojure;Factor
At work;Side projects,
At work;Side projects,Java
At work;Side projects,Java;Ruby
At work;Side projects,Java;Ruby
Side projects,Python
At work;Side projects,C#/.Net;Python;Scala;Rust
At work;Open Source Contributions,C/C++/Objective-C;Scala;Perl;PHP
At work,Ruby
At work;Side projects,C#/.Net
At work;Side projects,Java
At work;Side projects,Ruby
At work;Side projects,C#/.Net
At work,
At work;Side projects,C#/.Net
Side projects,C/C++/Objective-C;Java;PHP
At work;Side projects,PHP
At work;Side projects,Python
Side projects,Python;Ruby;PHP
At work,C/C++/Objective-C;C#/.Net;PHP
At work;Side projects,Java
Side projects,C#/.Net
At work;Side projects,Ruby;Go;PHP
At work;Side projects,PHP
At work;Side projects,
At work;Side projects,Java
At work;Side projects,C/C++/Objective-C
At work;Side projects,Ruby
At work;Side projects,Java;Ruby
At work;Side projects,C#/.Net
